ID_date,date_name,date_of_week,quarter,holiday,holiday_name,season,week_num,year,month,day
20010103,2001-01-03,Wednesday,1,N,,Zima,1,2001,1,3
20010104,2001-01-04,Thursday,1,N,,Zima,1,2001,1,4
20010105,2001-01-05,Friday,1,N,,Zima,1,2001,1,5
20010106,2001-01-06,Saturday,1,N,,Zima,1,2001,1,6
20010107,2001-01-07,Sunday,1,N,,Zima,1,2001,1,7
20010108,2001-01-08,Monday,1,N,,Zima,2,2001,1,8
20010109,2001-01-09,Tuesday,1,N,,Zima,2,2001,1,9
20010110,2001-01-10,Wednesday,1,N,,Zima,2,2001,1,10
20010111,2001-01-11,Thursday,1,N,,Zima,2,2001,1,11
20010112,2001-01-12,Friday,1,N,,Zima,2,2001,1,12
20010113,2001-01-13,Saturday,1,N,,Zima,2,2001,1,13
20010114,2001-01-14,Sunday,1,N,,Zima,2,2001,1,14
20010115,2001-01-15,Monday,1,N,,Zima,3,2001,1,15
20010116,2001-01-16,Tuesday,1,N,,Zima,3,2001,1,16
20010117,2001-01-17,Wednesday,1,N,,Zima,3,2001,1,17
20010118,2001-01-18,Thursday,1,N,,Zima,3,2001,1,18
20010119,2001-01-19,Friday,1,N,,Zima,3,2001,1,19
20010120,2001-01-20,Saturday,1,N,,Zima,3,2001,1,20
20010121,2001-01-21,Sunday,1,N,,Zima,3,2001,1,21
20010122,2001-01-22,Monday,1,N,,Zima,4,2001,1,22
20010123,2001-01-23,Tuesday,1,N,,Zima,4,2001,1,23
20010124,2001-01-24,Wednesday,1,N,,Zima,4,2001,1,24
20010125,2001-01-25,Thursday,1,N,,Zima,4,2001,1,25
20010126,2001-01-26,Friday,1,N,,Zima,4,2001,1,26
20010127,2001-01-27,Saturday,1,N,,Zima,4,2001,1,27
20010128,2001-01-28,Sunday,1,N,,Zima,4,2001,1,28
20010129,2001-01-29,Monday,1,N,,Zima,5,2001,1,29
20010130,2001-01-30,Tuesday,1,N,,Zima,5,2001,1,30
20010131,2001-01-31,Wednesday,1,N,,Zima,5,2001,1,31
